application_number,filing_date,title,publication_number,publication_date,ipcr,applicants,attorneys,inventors,oppositions,legal_status,legal_status_date,register_events,legal_events
EP10781527A,2010-11-29,COMBINATIONS OF A MUSCARINIC RECEPTOR ANTAGONIST AND A BETA-2 ADRENORECEPTOR AGONIST,EP2506844B1,2017-12-20,"A61K31/138, A61K31/439, A61K45/06, A61P11/06, A61P11/08",Glaxo Group Limited,Hoffmann Eitle,"BAKER, Darrell",Teva UK Limited,Granted and Under Opposition,2017-11-17,2022-07-06,2022-12-30
EP18175495A,2004-09-10,RAPID DISSOLUTION FORMULATION OF CINACALCET HCL,EP3395338B1,2019-05-01,"A61K31/135, A61K9/28, A61K9/20, A61P5/18A61K31/00, A61K31/135, A61K9/28, A61K9/20, A61P5/18",Amgen Inc.,Uexküll & Stolberg,"ÁLVAREZ, Francisco J.",Teva Pharmaceutical Industries Ltd,Revoked,2022-04-29,2022-04-29,2022-11-01
EP09752562A,2009-10-20,VIRAL INACTIVATION DURING PURIFICATION OF ANTIBODIES,EP2346897A2,2011-07-27,"C07K16/00, C07K16/24",AbbVie Inc.,"Adams, Harvey Vaughan John, et al","HICKMAN, Robert, K.",NA,Refused,NA,2017-01-06,2017-02-08
EP05815641A,2005-10-19,ANTIBODY FORMULATION IN HISTIDINE-ACETATE BUFFER,EP1802344B1,2012-08-15,A61K39/395,"Genentech, Inc.","Walton, Seán Malcolm, et al","ANDYA, James, D.",Actavis group PTC ehf,Opposition rejected,NA,2014-12-19,2022-11-30
EP20211780A,2014-05-14,11-HYDROXYL-6-SUBSTITUTED-DERIVATIVES OF BILE ACIDS AND AMINO ACID CONJUGATES THEREOF AS FARNESOID X RECEPTOR MODULATORS,EP3848038B1,2022-11-09,"A61K31/575, C07J9/00, C07J41/00, A61P1/16, A61P11/00, A61P13/00, A61P43/00, A61P1/00,  // C07J71/00, C07J31/00","Intercept Pharmaceuticals, Inc.",Carpmaels & Ransford LLP,"PELLICCIARI, Roberto",NA,Granted and Under Opposition,2022-10-07,2022-11-25,2022-12-07
EP10182554A,2002-06-05,Methods of administering anti-TNFalpha antibodies,EP2359855A9,2012-06-20,"A61K39/395, A61M5/178, A61K38/20, A61K31/519, A61P37/06, A61P19/02, // C07K16/24",AbbVie Biotechnology Ltd,"Walton, Seán Malcolm","Kempeni, Joachim",NA,Withdrawn,NA,2015-12-11,2018-12-28
EP19217355A,2006-06-08,SELF-BUFFERING PROTEIN FORMULATIONS,EP3673919A1,2020-07-01,"A61K39/395, C12P21/08, A61K9/08",Amgen Inc.,"Lau, Sarah Jane","GOKARN, Yatin, R.",NA,Request for examination was made,2021-01-15,2022-06-22,2021-02-17
EP06848934A,2006-12-06,POLISHING STEPS USED IN MULTI-STEP PROTEIN PURIFICATION PROCESSES,EP1963367A2,2008-09-03,"C07K16/00, C07K1/34C07K16/00",Amgen Inc.,Grünecker Patent- und Rechtsanwälte PartG mbB,"ZHOU, Joe Xin Hua",NA,Refused,NA,2011-12-23,2012-01-25
EP15165114A,2008-03-26,NUCLEOSIDE PHOSPHORAMIDATE PRODRUGS,EP2933260A1,2015-10-21,"C07H19/20, A61K31/7072, A61P31/00",Gilead Pharmasset LLC,"Wallace, Sheila Jane","Du, Jinfa",NA,The application is deemed to be withdrawn,NA,2016-09-16,2016-10-19
EP18708945A,2018-02-26,CRYSTALLINE FORMS OF THE 4-PYRIMIDINESULFAMIDE DERIVATIVE APROCITENTAN,EP3585391A1,2020-01-01,"A61K31/513, A61P9/12",Idorsia Pharmaceuticals Ltd,"Velker, Jörg","BOLLI, Martin",NA,The application is deemed to be withdrawn,2022-02-11,2022-02-11,2022-03-16
EP19832954A,2019-12-20,PHARMACEUTICAL COMPOSITION FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION,EP3897646A1,2021-10-27,"A61K31/506, A61P9/12, A61P11/00",Actelion Pharmaceuticals Ltd,Carpmaels & Ransford LLP,"CSONKA, Dénes",NA,Pending,2022-10-14,2022-11-14,2022-11-16
